DATA SOURCE,KPI,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",2024,"270,766","270,374","225,549","228,567","320,523","226,315","264,337","270,805","251,658","230,419","318,091","359,183","3,236,587"
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",2023,"299,600","345,550","284,000","253,170","381,890","242,070","234,910","213,330","243,870","239,930","365,500","309,010","3,412,830"
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",2022,"259,650","272,620","228,310","245,730","379,550","244,580","215,670","215,430","315,570","314,170","400,590","357,270","3,449,140"
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",2021,"190,110","141,890","136,220","110,510","200,740","171,400","177,630","161,380","170,270","146,310","273,740","218,710","2,098,910"
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",25/24,-1.72%,-2.60%,33.50%,24.11%,9.76%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-54.70%
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",24/23,-9.62%,-21.76%,-20.58%,-9.72%,-16.07%,-6.51%,12.53%,26.94%,3.19%,-3.96%,-12.97%,16.24%,-5.16%
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",23/22,15.39%,26.75%,24.39%,3.03%,0.62%,-1.03%,8.92%,-0.97%,-22.72%,-23.63%,-8.76%,-13.51%,-1.05%
"Datahub
(GA4)","SESSIONS
Measurement changed after GA4 in June 23.",22/21,36.58%,92.13%,67.60%,122.36%,89.08%,42.70%,21.42%,33.49%,85.34%,114.73%,46.34%,63.35%,64.33%
"Datahub
(Shopify)",ORDERS,2025,"10,272","7,955","10,787","10,182","15,579",,,,,,,,"54,775"
"Datahub
(Shopify)",ORDERS,2024,"9,489","8,107","9,028","9,594","15,173","9,348","8,750","10,341","8,876","8,814","17,022","22,166","136,708"
"Datahub
(Shopify)",ORDERS,2023,"9,291","7,448","11,175","7,915","17,469","8,689","10,527","9,942","12,337","8,197","26,558","16,142","145,690"
"Datahub
(Shopify)",ORDERS,2022,"8,954","7,457","10,221","8,070","14,599","7,436","7,129","9,503","14,463","7,770","30,609","15,556","141,767"
"Datahub
(Shopify)",ORDERS,2021,"7,393","5,667","6,153","4,785","11,701","7,379","8,159","6,818","7,261","6,115","22,707","11,543","105,681"
"Datahub
(Shopify)",ORDERS,25/24,8.25%,-1.87%,19.48%,6.13%,2.68%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-59.93%
"Datahub
(Shopify)",ORDERS,24/23,2.13%,8.85%,-19.21%,21.21%,-13.14%,7.58%,-16.88%,4.01%,-28.05%,7.53%,-35.91%,37.32%,-6.17%
"Datahub
(Shopify)",ORDERS,23/22,3.76%,-0.12%,9.33%,-1.92%,19.66%,16.85%,47.66%,4.62%,-14.70%,5.50%,-13.23%,3.77%,2.77%
"Datahub
(Shopify)",ORDERS,22/21,21.11%,31.59%,66.11%,68.65%,24.77%,0.77%,-12.62%,39.38%,99.19%,27.06%,34.80%,34.77%,34.15%
"Datahub
(Shopify)",TOTAL CUSTOMERS,2025,"9,863","7,641","10,196","9,614","14,916","3,016",0,0,0,0,0,0,"55,246"
"Datahub
(Shopify)",TOTAL CUSTOMERS,2024,"9,107","7,699","8,626","9,104","14,566","8,966","8,417","9,869","8,571","8,362","16,407","21,360","131,054"
"Datahub
(Shopify)",TOTAL CUSTOMERS,2023,"8,946","7,133","10,723","7,552","16,652","8,294","10,083","9,500","11,929","7,829","25,110","15,997","139,748"
"Datahub
(Shopify)",TOTAL CUSTOMERS,2022,"8,688","7,250","9,682","7,716","13,962","7,135","6,804","9,181","13,877","7,462","29,119","15,003","135,879"
"Datahub
(Shopify)",TOTAL CUSTOMERS,2021,"7,125","5,522","5,916","4,904","11,979","7,198","7,855","6,560","6,984","5,875","21,620","11,228","102,766"
"Datahub
(Shopify)",TOTAL CUSTOMERS,25/24,8.30%,-0.75%,18.20%,5.60%,2.40%,-66.36%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-57.84%
"Datahub
(Shopify)",TOTAL CUSTOMERS,24/23,1.80%,7.93%,-19.56%,20.55%,-12.53%,8.10%,-16.52%,3.88%,-28.15%,6.81%,-34.66%,33.53%,-6.22%
"Datahub
(Shopify)",TOTAL CUSTOMERS,23/22,2.97%,-1.61%,10.75%,-2.13%,19.27%,16.24%,48.19%,3.47%,-14.04%,4.92%,-13.77%,6.63%,2.85%
"Datahub
(Shopify)",TOTAL CUSTOMERS,22/21,21.94%,31.29%,63.66%,57.34%,16.55%,-0.88%,-13.38%,39.95%,98.70%,27.01%,34.69%,33.62%,32.22%
"Datahub
(Shopify)",NEW CUSTOMERS,2025,"4,819","3,893","4,832","4,004","5,447",,,,,,,,"22,995"
"Datahub
(Shopify)",NEW CUSTOMERS,2024,"4,571","3,495","3,542","4,120","6,875","4,131","4,016","4,376","4,164","3,561","7,221","10,118","60,190"
"Datahub
(Shopify)",NEW CUSTOMERS,2023,"4,587","3,650","5,569","3,451","8,047","3,993","5,147","4,533","5,938","3,212","11,323","7,928","67,378"
"Datahub
(Shopify)",NEW CUSTOMERS,2022,"4,617","4,004","4,621","3,570","6,178","3,371","3,266","3,993","5,758","3,227","13,392","7,872","63,869"
"Datahub
(Shopify)",NEW CUSTOMERS,2021,"4,224","3,051","3,181","2,692","6,786","4,124","3,959","3,328","3,470","3,019","11,379","5,759","54,972"
"Datahub
(Shopify)",NEW CUSTOMERS,25/24,5.43%,11.39%,36.42%,-2.82%,-20.77%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-61.80%
"Datahub
(Shopify)",NEW CUSTOMERS,24/23,-0.35%,-4.25%,-36.40%,19.39%,-14.56%,3.46%,-21.97%,-3.46%,-29.88%,10.87%,-36.23%,27.62%,-10.67%
"Datahub
(Shopify)",NEW CUSTOMERS,23/22,-0.65%,-8.84%,20.52%,-3.33%,30.25%,18.45%,57.59%,13.52%,3.13%,-0.46%,-15.45%,0.71%,5.49%
"Datahub
(Shopify)",NEW CUSTOMERS,22/21,9.30%,31.24%,45.27%,32.62%,-8.96%,-18.26%,-17.50%,19.98%,65.94%,6.89%,17.69%,36.69%,16.18%
"Datahub
(Shopify)",REPEAT CUSTOMERS,2025,"5,044","3,748","5,364","5,610","9,469","3,016",,,,,,,"32,251"
"Datahub
(Shopify)",REPEAT CUSTOMERS,2024,"4,536","4,204","5,084","4,984","7,691","4,835","4,401","5,493","4,407","4,801","9,186","11,242","70,864"
"Datahub
(Shopify)",REPEAT CUSTOMERS,2023,"4,359","3,483","5,154","4,101","8,605","4,301","4,936","4,967","5,991","4,617","13,787","8,069","72,370"
"Datahub
(Shopify)",REPEAT CUSTOMERS,2022,"4,071","3,246","5,061","4,146","7,784","3,764","3,538","5,188","8,119","4,235","15,727","7,131","72,010"
"Datahub
(Shopify)",REPEAT CUSTOMERS,2021,"2,901","2,471","2,735","2,212","5,193","3,074","3,896","3,232","3,514","2,856","10,241","5,469","47,794"
"Datahub
(Shopify)",REPEAT CUSTOMERS,25/24,11.20%,-10.85%,5.51%,12.56%,23.12%,-37.62%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%
"Datahub
(Shopify)",REPEAT CUSTOMERS,24/23,4.06%,20.70%,-1.36%,21.53%,-10.62%,12.42%,-10.84%,10.59%,-26.44%,3.99%,-33.37%,39.32%,-2.08%
"Datahub
(Shopify)",REPEAT CUSTOMERS,23/22,7.07%,7.30%,1.84%,-1.09%,10.55%,14.27%,39.51%,-4.26%,-26.21%,9.02%,-12.34%,13.15%,0.50%
"Datahub
(Shopify)",REPEAT CUSTOMERS,22/21,40.33%,31.36%,85.05%,87.43%,49.89%,22.45%,-9.19%,60.52%,131.05%,48.28%,53.57%,30.39%,50.67%
"Datahub
(Shopify orders/GA sessions)",CONVERSION,2025,3.86%,3.02%,3.58%,3.59%,4.43%,,,,,,,,6.65%
"Datahub
(Shopify orders/GA sessions)",CONVERSION,2024,3.50%,3.00%,4.00%,4.20%,4.73%,4.13%,3.31%,3.82%,3.53%,3.83%,5.35%,6.17%,4.22%
"Datahub
(Shopify orders/GA sessions)",CONVERSION,2023,3.10%,2.16%,3.93%,3.13%,4.57%,3.59%,4.48%,4.66%,5.06%,3.42%,7.27%,5.22%,4.22%
"Datahub
(Shopify orders/GA sessions)",CONVERSION,2022,3.45%,2.74%,4.48%,3.28%,3.85%,3.04%,3.31%,4.41%,4.58%,2.47%,7.64%,4.35%,3.97%
"Datahub
(Shopify orders/GA sessions)",CONVERSION,2021,,,,,5.83%,4.31%,4.59%,4.22%,4.26%,4.18%,8.30%,5.28%,5.12%
"Datahub
(Shopify orders/GA sessions)",CONVERSION,25/24,10.29%,0.67%,-10.50%,-14.52%,-6.34%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,57.58%
"Datahub
(Shopify orders/GA sessions)",CONVERSION,24/23,12.86%,39.19%,1.66%,34.34%,3.40%,15.06%,-26.14%,-18.03%,-30.22%,12.11%,-26.37%,18.11%,0.10%
"Datahub
(Shopify orders/GA sessions)",CONVERSION,23/22,-10.07%,-21.20%,-12.11%,-4.80%,18.93%,18.06%,35.57%,5.65%,10.38%,38.14%,-4.90%,19.97%,6.28%
"Datahub
(Shopify orders/GA sessions)",CONVERSION,22/21,0.00%,0.00%,0.00%,0.00%,-34.01%,-29.38%,-28.04%,4.41%,7.47%,-40.83%,-7.89%,-17.50%,-22.54%
"Datahub
(Shopify)",AUR,2025,,,,,,,,,,,,,
"Datahub
(Shopify)",AUR,2024,$30.77 ,$35.00 ,$30.41 ,$27.74 ,$23.20 ,$26.71 ,$25.94 ,,,,,,$199.77 
"Datahub
(Shopify)",AUR,2023,$28.90 ,$32.66 ,$33.52 ,$34.50 ,$28.16 ,$29.38 ,$25.06 ,$25.18 ,$22.97 ,$38.46 ,$32.56 ,$29.75 ,$29.63 
"Datahub
(Shopify)",AUR,2022,$31.63 ,$32.14 ,$30.55 ,$33.18 ,$27.28 ,$30.29 ,$31.15 ,$28.20 ,$25.74 ,$34.83 ,$30.84 ,$31.06 ,$30.09 
"Datahub
(Shopify)",AUR,2021,$28.96 ,$31.98 ,$31.23 ,$32.87 ,$23.60 ,$27.64 ,$29.51 ,$30.93 ,$28.46 ,$32.37 ,$28.96 ,$29.60 ,$28.97 
"Datahub
(Shopify)",AUR,25/24,,,,,,,,,,,,,
"Datahub
(Shopify)",AUR,24/23,6.47%,7.16%,-9.28%,-19.59%,-17.61%,-9.09%,3.51%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%
"Datahub
(Shopify)",AUR,23/22,-8.63%,1.62%,9.72%,3.98%,3.23%,-3.00%,-19.55%,-10.71%,-10.76%,10.42%,5.58%,-4.22%,-1.53%
"Datahub
(Shopify)",AUR,22/21,9.22%,0.50%,-2.18%,0.94%,15.59%,9.59%,5.56%,-8.83%,-9.56%,7.60%,6.49%,4.93%,3.87%
"Datahub
(Shopify)",AOV,2025,$105.12 ,$110.16 ,$107.47 ,$119.28 ,$103.86 ,,,,,,,,$109.72 
"Datahub
(Shopify)",AOV,2024,$100.93 ,$117.78 ,$108.00 ,$113.71 ,$99.92 ,$108.23 ,$108.38 ,$109.09 ,$108.01 ,$111.85 ,$103.66 ,$105.81 ,$107.07 
"Datahub
(Shopify)",AOV,2023,$107.35 ,$108.32 ,$101.80 ,$115.40 ,$99.72 ,$104.03 ,$101.82 ,$102.45 ,$97.57 ,$114.70 ,$96.68 ,$101.12 ,$102.51 
"Datahub
(Shopify)",AOV,2022,$115.27 ,$115.61 ,$106.93 ,$120.99 ,$112.52 ,$115.66 ,$114.72 ,$112.21 ,$106.75 ,$117.28 ,$92.87 ,$103.25 ,$107.60 
"Datahub
(Shopify)",AOV,2021,$104.00 ,$109.00 ,$111.00 ,$113.00 ,$107.00 ,$109.00 ,$108.00 ,$115.00 ,$112.00 ,$121.00 ,$95.00 ,$103.00 ,$107.00 
"Datahub
(Shopify)",AOV,25/24,4.15%,-6.47%,-0.49%,4.90%,3.94%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,2.48%
"Datahub
(Shopify)",AOV,24/23,-5.98%,8.73%,6.09%,-1.46%,0.20%,4.04%,6.44%,6.48%,10.70%,-2.48%,7.22%,4.64%,4.45%
"Datahub
(Shopify)",AOV,23/22,-6.87%,-6.31%,-4.80%,-4.62%,-11.38%,-10.06%,-11.24%,-8.70%,-8.60%,-2.20%,4.10%,-2.06%,-4.73%
"Datahub
(Shopify)",AOV,22/21,10.84%,6.06%,-3.67%,7.07%,5.16%,6.11%,6.22%,-2.43%,-4.69%,-3.07%,-2.24%,0.24%,0.56%
"Datahub
(Shopify)",UPT,2025,,,,,,,,,,,,,
"Datahub
(Shopify)",UPT,2024,3.7,3.7,3.4,3.9,4.1,3.8,4,,,,,,
"Datahub
(Shopify)",UPT,2023,4,3.6,3.3,3.8,4.1,3.9,4.4,4.3,4.5,3.6,3.5,3.8,3.9
"Datahub
(Shopify)",UPT,2022,3.9,3.9,3.9,4.1,4.5,4.2,4.1,4.3,4.6,4,3.4,3.6,4
"Datahub
(Shopify)",UPT,2021,3.8,3.6,3.7,3.6,4.8,4.2,3.9,4.1,4.3,4.1,3.5,3.7,3.9
"Datahub
(Shopify)",UPT,25/24,,,,,,,,,,,,,
"Datahub
(Shopify)",UPT,24/23,-7.50%,2.78%,1.82%,3.68%,0.98%,-1.54%,-10.23%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%
"Datahub
(Shopify)",UPT,23/22,2.56%,-7.69%,-15.38%,-7.32%,-8.89%,-7.14%,7.32%,0.00%,-2.17%,-10.00%,2.94%,5.56%,-2.50%
"Datahub
(Shopify)",UPT,22/21,2.63%,8.33%,5.41%,13.89%,-6.25%,0.00%,5.13%,4.88%,6.98%,-2.44%,-2.86%,-2.70%,2.56%
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,2025,,,,,,,,,,,,,
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,2024,49.81%,54.60%,58.94%,54.75%,52.80%,53.93%,52.29%,,,,,,
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,2023,48.73%,48.83%,48.06%,54.30%,51.68%,51.86%,48.95%,52.28%,50.22%,58.97%,54.91%,50.44%,
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,2022,46.86%,44.77%,52.27%,53.73%,55.75%,52.75%,52.00%,56.51%,58.51%,56.75%,54.01%,47.53%,
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,2021,40.72%,44.75%,46.23%,45.11%,43.35%,42.71%,49.60%,49.27%,50.32%,48.61%,47.37%,48.71%,
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,25/24,,,,,,,,,,,,,
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,24/23,2.22%,11.83%,22.62%,0.81%,2.18%,3.99%,6.81%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,0.00%
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,23/22,3.99%,9.06%,-8.05%,1.06%,-7.31%,-1.70%,-5.86%,-7.47%,-14.16%,3.91%,1.66%,6.12%,0.00%
"Datahub
(Shopify)",REPEAT CUSTOMER RATE,22/21,15.08%,0.05%,13.07%,19.12%,28.60%,23.53%,4.84%,14.69%,16.28%,16.75%,14.02%,-2.42%,0.00%
Datahub,MEDIA ROAS (only ad cost),2025,2.3,2.2,2,2,2.1,,,,,,,,2.1
Datahub,MEDIA ROAS (only ad cost),2024,3.3,2.2,2.3,2.5,1.9,2.4,2,2.4,2.1,1.8,2.1,2.3,2.2
Datahub,MEDIA ROAS (only ad cost),2023,2.9,2.1,2.4,1.6,2.4,2.9,3.4,3.2,2.8,1.8,2.7,2.4,2.5
Datahub,MEDIA ROAS (only ad cost),2022,2.6,2.3,3.2,2.4,2.7,2.1,2.8,3,2.7,2.6,3.4,2.2,2.7
Datahub,MEDIA ROAS (only ad cost),2021,4.1,4.2,4.2,3.8,7.1,5.1,6.3,5.2,3.9,3.7,3.9,3.4,4.4
Datahub,MEDIA ROAS (only ad cost),25/24,-30.00%,0.45%,-10.57%,-21.60%,11.11%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-4.07%
Datahub,MEDIA ROAS (only ad cost),24/23,14.19%,4.27%,-5.42%,61.29%,-19.57%,-16.78%,-40.71%,-24.76%,-22.83%,0.00%,-22.06%,-3.77%,-11.95%
Datahub,MEDIA ROAS (only ad cost),23/22,10.73%,-6.22%,-24.29%,-34.60%,-12.96%,36.45%,21.51%,5.70%,3.37%,-28.63%,-20.00%,7.66%,-5.64%
Datahub,MEDIA ROAS (only ad cost),22/21,-35.87%,-45.78%,-23.61%,-37.96%,-62.13%,-58.20%,-55.99%,-42.69%,-30.65%,-30.71%,-11.92%,-34.32%,-38.99%
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",2025,5.7,5.5,4.8,5,4.8,,,,,,,,5.1
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",2024,6.8,5.2,5.8,5.7,4.3,5.2,4.3,5,4.2,4.1,4.6,5.5,4.9
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",2023,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",2022,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",2021,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",25/24,-15.76%,6.55%,-17.59%,-12.39%,11.60%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,3.45%
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",24/23,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",23/22,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Datahub,"MARKETING ROAS 
(ad cost, agency cost, organic search, email/SMS)",22/21,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,2025,"315,415","350,186","338,189","332,866","330,297","327,055",,,,,,,
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,2024,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,"330,984","326,300","323,350","322,038","318,750","318,750"
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,2023,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,2022,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,2021,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,25/24,,,,,,,,,,,,,
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,24/23,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,23/22,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
"Listrak = Based on full file""sends"" in-month 
Insider = Based on list size in portal",EMAIL LIST SIZE,22/21,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Datahub,CAC,2025,$37.27 ,$37.63 ,$45.59 ,$60.87 ,$61.79 ,$59.57 ,,,,,,,$49.50 
Datahub,CAC,2024,$23.79 ,$43.07 ,$38.57 ,$39.08 ,$44.92 ,$40.29 ,$48.04 ,$42.97 ,$46.58 ,$58.40 ,$44.30 ,$38.57 ,$41.95 
Datahub,CAC,2023,$26.83 ,$33.51 ,$24.69 ,$41.85 ,$33.13 ,$28.72 ,$22.61 ,$26.76 ,$27.83 ,$50.93 ,$30.01 ,$34.35 ,$30.98 
Datahub,CAC,2022,$30.59 ,$37.97 ,$24.60 ,$35.65 ,$32.42 ,$39.67 ,$30.99 ,$27.74 ,$26.21 ,$32.83 ,$19.11 ,$33.70 ,$29.10 
Datahub,CAC,2021,$13.41 ,$15.28 ,$16.85 ,$19.62 ,$10.49 ,$12.72 ,$12.53 ,$16.18 ,$19.87 ,$25.17 ,$17.31 ,$22.83 ,$16.56 
Datahub,CAC,25/24,56.66%,-12.63%,18.20%,55.76%,37.56%,47.85%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,18.00%
Datahub,CAC,24/23,-11.33%,28.53%,56.22%,-6.62%,35.59%,40.29%,112.47%,60.58%,67.37%,14.67%,47.62%,12.29%,35.41%
Datahub,CAC,23/22,-12.29%,-11.75%,0.37%,17.39%,2.19%,-27.60%,-27.04%,-3.53%,6.18%,55.13%,57.04%,1.93%,6.46%
Datahub,CAC,22/21,128.11%,148.49%,45.99%,81.70%,209.06%,211.87%,147.33%,71.45%,31.91%,30.43%,10.40%,47.61%,75.72%
Datahub,TOTAL COST (Ads & Agency Fees),2025,,,,,,,,,,,,,0
Datahub,TOTAL COST (Ads & Agency Fees),2024,"$141,037 ","$184,073 ","$168,129 ","$192,914 ","$352,110 ","$193,961 ","$222,592 ","$226,602 ","$230,447 ","$239,645 ","$384,495 ","$430,057 ","2,966,062"
Datahub,TOTAL COST (Ads & Agency Fees),2023,"$188,446 ","$163,596 ","$175,293 ","$190,339 ","$321,961 ","$153,413 ","$154,081 ","$156,861 ","$214,507 ","$198,374 ","$391,018 ","$342,850 ","2,650,738"
Datahub,TOTAL COST (Ads & Agency Fees),2022,"$188,274 ","$203,872 ","$184,830 ","$201,941 ","$249,459 ","$178,926 ","$165,841 ","$146,739 ","$194,971 ","$165,068 ","$307,062 ","$316,462 ","2,503,446"
Datahub,TOTAL COST (Ads & Agency Fees),2021,"$56,661 ","$46,614 ","$53,606 ","$52,812 ","$71,158 ","$52,470 ","$49,602 ","$78,398 ","$118,444 ","$110,981 ","$245,648 ","$199,161 ","1,135,556"
Datahub,TOTAL COST (Ads & Agency Fees),25/24,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%
Datahub,TOTAL COST (Ads & Agency Fees),24/23,-25.16%,12.52%,-4.09%,1.35%,9.36%,26.43%,44.46%,44.46%,7.43%,20.80%,-1.67%,25.44%,11.90%
Datahub,TOTAL COST (Ads & Agency Fees),23/22,0.09%,-19.76%,-5.16%,-5.75%,29.06%,-14.26%,-7.09%,6.90%,10.02%,20.18%,27.34%,8.34%,5.88%
Datahub,TOTAL COST (Ads & Agency Fees),22/21,232.28%,337.37%,244.79%,282.38%,250.57%,241.01%,234.34%,87.17%,64.61%,48.74%,25.00%,58.90%,120.46%
Datahub,CPO,2025,,,,,,,,,,,,,
Datahub,CPO,2024,$14.86 ,$22.71 ,$18.62 ,$20.11 ,$23.21 ,$20.75 ,$25.44 ,,,,,,$21.70 
Datahub,CPO,2023,$20.28 ,$21.97 ,$15.69 ,$24.05 ,$18.43 ,$17.66 ,$14.64 ,$15.78 ,$17.39 ,$24.20 ,$14.72 ,$21.24 ,$18.19 
Datahub,CPO,2022,$21.03 ,$27.34 ,$18.08 ,$25.02 ,$17.09 ,$24.06 ,$23.26 ,$15.44 ,$13.48 ,$21.24 ,$10.03 ,$20.34 ,$17.66 
